grid_id,INWONER_2020,VROUW_2020,INW_014_2020,INW_1524_2020,INW_2544_2020,INW_4564_2020,INW_65PL_2020,GEBOORTE_2020,P_NL_ACHTG_2020,P_WE_MIG_A_2020,P_NW_MIG_A_2020,AANTAL_HH_2020,TOTHH_EENP_2020,TOTHH_MPZK_2020,HH_EENOUD_2020,HH_TWEEOUD_2020,GEM_HH_GR_2020,WONING_2020,WONVOOR45_2020,WON_4564_2020,WON_6574_2020,WON_7584_2020,WON_8594_2020,WON_9504_2020,WON_0514_2020,WON_1524_2020,WON_MRGEZ_2020,P_HUURWON_2020,P_KOOPWON_2020,WON_HCORP_2020,WON_NBEW_2020,G_GAS_WON_2020,G_ELEK_WON_2020,UITKMINAOW_2020,AFS_SUPERM_2020,AV1_SUPERM_2020,AFS_DAGLMD_2020,AV1_DAGLMD_2020,AFS_WARENH_2020,AFS_CAFE_2020,AV1_CAFE_2020,AFS_CAFTAR_2020,AV1_CAFTAR_2020,AFS_HOTEL_2020,AFS_RESTAU_2020,AV1_RESTAU_2020,AFS_BSO_2020,AV1_BSO_2020,AFS_KDV_2020,AV1_KDV_2020,AFS_OPRIT_2020,AFS_TRNOVS_2020,AFS_TREINS_2020,AFS_ATTRAC_2020,AFS_BIOS_2020,AFS_MUS_2020,AFS_PODIUM_2020,AFS_BIBLIO_2020,AF_IJSBAAN_2020,AFS_SAUNA_2020,AFS_ZONBNK_2020,AFS_ZWEMB_2020,AFS_ONDBAS_2020,AV1_ONDBAS_2020,AFS_ONDHV_2020,AFS_ONDVMB_2020,AFS_ONDVRT_2020,AFS_HAPRAK_2020,AV1_HAPRAK_2020,AFS_ZIEK_E_2020,AFS_ZIEK_I_2020,AFS_APOTH_2020,AFS_HAPOST_2020,INWONER_2014,VROUW_2014,INW_014_2014,INW_1524_2014,INW_2544_2014,INW_4564_2014,INW_65PL_2014,GEBOORTE_2014,P_NL_ACHTG_2014,P_WE_MIG_A_2014,P_NW_MIG_A_2014,AANTAL_HH_2014,TOTHH_EENP_2014,TOTHH_MPZK_2014,HH_EENOUD_2014,HH_TWEEOUD_2014,GEM_HH_GR_2014,WONING_2014,WONVOOR45_2014,WON_4564_2014,WON_6574_2014,WON_7584_2014,WON_8594_2014,WON_9504_2014,WON_0514_2014,WON_1524_2014,P_HUURWON_2014,P_KOOPWON_2014,WON_HCORP_2014,WON_MRGEZ_2014,WON_NBEW_2014,G_GAS_WON_2014,G_ELEK_WON_2014,UITKMINAOW_2014,AFS_SUPERM_2014,AV1_SUPERM_2014,AFS_DAGLMD_2014,AV1_DAGLMD_2014,AFS_WARENH_2014,AFS_CAFE_2014,AV1_CAFE_2014,AFS_CAFTAR_2014,AV1_CAFTAR_2014,AFS_HOTEL_2014,AFS_RESTAU_2014,AV1_RESTAU_2014,AFS_BSO_2014,AV1_BSO_2014,AFS_KDV_2014,AV1_KDV_2014,AFS_OPRIT_2014,AFS_TRNOVS_2014,AFS_TREINS_2014,AFS_ATTRAC_2014,AFS_BIOS_2014,AFS_MUS_2014,AFS_PODIUM_2014,AFS_BIBLIO_2014,AF_IJSBAAN_2014,AFS_SAUNA_2014,AFS_ZONBNK_2014,AFS_ZWEMB_2014,AFS_ONDBAS_2014,AV1_ONDBAS_2014,AFS_ONDHV_2014,AFS_ONDVMB_2014,AFS_ONDVRT_2014,AFS_HAPRAK_2014,AV1_HAPRAK_2014,AFS_ZIEK_E_2014,AFS_ZIEK_I_2014,AFS_APOTH_2014,AFS_HAPOST_2014
E1208N4930,60,35,10,5,20,10,5,-99997,40,-99997,-99997,20,5,-99997,-99997,10,2.8,20,-99997,-99997,-99997,-99997,20,-99997,-99997,-99997,-99997,40,60,10,-99997,900,3210,5,1.1,0.0,1.2,0.0,3.1,2.0,0.0,1.0,0.4,1.7,1.4,0.0,0.7,1.0,0.7,3.0,0.9,6.2,6.2,7.9,6.2,5.0,4.5,1.2,12.1,5.0,5.7,4.7,0.8,2.0,4.3,1.0,1.0,1.2,0.0,4.1,4.1,1.2,4.1,55.0,25.0,10.0,10.0,20.0,15.0,5.0,-99997.0,50.0,-99997.0,50.0,20.0,-99997.0,5.0,-99997.0,10.0,2.9,20.0,-99997.0,-99997.0,-99997.0,-99997.0,20.0,-99997.0,-99997.0,-99997.0,60.0,40.0,10.0,-99997.0,-99997.0,970.0,3070.0,5.0,1.1,0.0,1.1,0.0,3.1,1.9,0.0,1.0,0.5,1.7,1.2,0.0,0.7,1.0,0.7,1.0,0.9,6.8,6.8,8.7,6.2,6.1,3.8,1.1,12.3,5.0,5.7,4.6,0.8,1.0,5.5,3.4,3.4,1.0,0.2,4.3,4.3,1.0,4.3
E1209N4930,100,50,15,15,25,25,15,-99997,50,10,50,45,20,5,5,10,2.2,45,-99997,-99997,-99997,-99997,45,-99997,-99997,-99997,-99997,30,70,30,-99997,860,2640,10,1.0,0.0,1.1,0.0,3.0,1.9,0.0,1.0,1.0,1.7,1.3,0.0,0.6,1.0,0.6,3.0,1.0,6.3,6.3,8.0,6.2,5.0,4.4,1.1,12.0,5.0,5.7,4.7,0.7,2.0,4.2,1.1,1.1,1.1,0.0,4.1,4.1,1.1,4.1,105.0,50.0,20.0,15.0,30.0,30.0,10.0,-99997.0,50.0,10.0,40.0,50.0,25.0,5.0,10.0,10.0,2.0,45.0,-99997.0,-99997.0,-99997.0,-99997.0,45.0,-99997.0,-99997.0,-99997.0,70.0,30.0,35.0,-99997.0,-99997.0,1000.0,2640.0,15.0,1.0,0.4,1.0,1.2,3.0,1.8,0.0,0.9,1.4,1.7,1.1,0.0,0.6,1.0,0.6,1.0,1.0,6.9,6.9,8.7,6.2,6.0,3.7,1.0,12.2,4.9,5.6,4.5,0.7,1.0,5.4,3.3,3.3,0.9,1.0,4.2,4.2,0.9,4.2
E1210N4930,60,30,10,5,15,20,5,-99997,60,20,20,25,-99997,5,-99997,10,2.6,20,-99997,-99997,-99997,-99997,-99997,-99997,20,-99997,5,90,-99997,-99997,-99997,930,3300,-99997,0.2,1.8,0.6,6.2,2.2,1.7,0.0,0.7,2.8,2.1,1.1,0.0,0.6,1.0,0.6,3.0,1.4,6.6,6.6,8.0,5.8,4.7,4.2,0.9,11.8,4.7,5.4,4.4,0.6,2.0,4.0,1.5,1.5,0.9,0.9,3.9,3.9,0.9,3.9,60.0,35.0,15.0,10.0,20.0,20.0,-99997.0,-99997.0,60.0,20.0,20.0,25.0,-99997.0,-99997.0,-99997.0,10.0,2.7,20.0,-99997.0,-99997.0,-99997.0,-99997.0,-99997.0,-99997.0,20.0,-99997.0,-99997.0,90.0,-99997.0,5.0,-99997.0,1050.0,3650.0,-99997.0,0.4,2.1,0.7,6.7,2.4,1.6,0.0,0.7,2.0,2.0,0.8,0.6,0.6,1.0,0.6,1.0,1.2,6.7,6.7,8.4,5.9,5.8,3.6,0.9,12.1,4.7,5.5,4.3,0.6,1.0,5.2,3.1,3.1,0.9,1.0,4.1,4.1,0.9,4.1
E1211N4930,25,10,-99997,-99997,-99997,10,-99997,-99997,60,-99997,-99997,10,5,-99997,-99997,-99997,2.1,10,10,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,80,-99997,-99997,-99997,1680,3400,-99997,0.1,2.0,0.6,7.0,2.1,1.6,0.0,0.7,3.0,2.1,1.1,0.0,0.6,1.0,0.6,3.0,1.4,6.7,6.7,8.0,5.8,4.7,4.1,0.8,11.7,4.7,5.4,4.4,0.6,2.0,3.9,1.5,1.5,0.8,1.0,3.8,3.8,0.8,3.8,25.0,15.0,-99997.0,-99997.0,5.0,15.0,-99997.0,-99997.0,80.0,-99997.0,20.0,10.0,-99997.0,-99997.0,-99997.0,5.0,2.6,10.0,10.0,-99997.0,-99997.0,-99997.0,-99997.0,-99997.0,-99997.0,-99997.0,-99997.0,70.0,-99997.0,-99997.0,-99997.0,2020.0,3710.0,-99997.0,0.1,3.0,0.6,8.0,2.1,1.5,0.0,0.6,2.0,2.1,0.7,1.0,0.6,1.0,0.6,1.0,1.4,6.7,6.7,8.3,5.8,5.7,3.5,0.8,12.0,4.6,5.4,4.2,0.6,1.0,5.1,3.0,3.0,0.8,1.0,4.0,4.0,0.8,4.0
E1212N4930,65,30,15,10,15,20,-99997,-99997,60,-99997,-99997,20,-99997,5,-99997,10,2.9,20,-99997,-99997,-99997,-99997,20,-99997,-99997,-99997,-99997,100,-99997,-99997,-99997,920,3330,-99997,0.4,2.0,0.5,2.0,2.3,1.9,0.0,0.5,2.0,2.4,1.3,0.0,0.9,1.0,0.9,3.0,1.7,7.0,7.0,8.2,6.0,5.0,4.4,1.1,12.0,5.0,5.6,4.7,0.9,2.0,4.2,1.8,1.8,1.1,0.0,4.1,4.1,1.1,4.1,55.0,25.0,10.0,5.0,15.0,25.0,-99997.0,-99997.0,70.0,-99997.0,20.0,20.0,-99997.0,10.0,-99997.0,10.0,2.7,20.0,-99997.0,-99997.0,-99997.0,-99997.0,20.0,-99997.0,-99997.0,-99997.0,-99997.0,100.0,-99997.0,-99997.0,-99997.0,1000.0,3520.0,-99997.0,0.4,2.0,0.5,2.0,2.3,1.8,0.0,0.9,1.0,2.5,0.5,1.0,0.9,1.0,0.9,1.0,1.7,7.0,7.0,8.5,6.0,6.0,3.8,1.1,12.3,4.9,5.7,4.5,0.9,1.0,5.4,3.4,3.4,1.1,0.0,4.3,4.3,1.1,4.3
E1213N4930,80,35,15,-99997,25,25,10,-99997,50,20,30,40,15,10,-99997,10,2.1,35,-99997,-99997,-99997,-99997,35,-99997,-99997,-99997,10,90,-99997,-99997,-99997,830,2890,-99997,0.4,2.0,0.4,2.0,2.3,1.9,0.0,0.4,1.7,2.5,1.4,0.0,0.9,1.0,0.9,2.7,1.7,7.0,7.0,8.2,6.0,5.0,4.4,1.1,12.1,5.0,5.7,4.7,0.9,1.7,4.2,1.8,1.8,1.1,0.0,4.1,4.1,1.1,4.1,85.0,40.0,10.0,10.0,25.0,30.0,5.0,-99997.0,50.0,20.0,30.0,35.0,10.0,10.0,-99997.0,10.0,2.3,35.0,-99997.0,-99997.0,-99997.0,-99997.0,35.0,-99997.0,-99997.0,-99997.0,20.0,80.0,-99997.0,10.0,-99997.0,980.0,3140.0,5.0,0.4,2.0,0.4,2.0,2.3,1.8,0.0,0.9,1.0,2.5,0.4,1.0,0.9,1.0,0.9,1.0,1.7,7.0,7.0,8.5,6.0,6.0,3.8,1.1,12.3,4.9,5.7,4.5,0.9,1.0,5.4,3.4,3.4,1.1,0.0,4.3,4.3,1.1,4.3
E1214N4930,60,25,10,10,15,25,-99997,-99997,50,30,20,25,10,5,-99997,10,2.2,25,-99997,-99997,-99997,-99997,25,-99997,-99997,-99997,-99997,90,-99997,-99997,-99997,920,3280,-99997,0.3,2.0,0.3,2.0,2.4,1.9,0.0,0.3,1.7,2.4,1.3,0.0,0.8,1.0,0.8,2.7,1.7,6.9,6.9,8.3,6.1,4.9,4.4,1.1,12.0,5.0,5.6,4.7,0.9,1.7,4.2,1.8,1.8,1.1,0.0,4.1,4.1,1.1,4.1,60.0,25.0,15.0,-99997.0,20.0,20.0,-99997.0,-99997.0,70.0,20.0,10.0,25.0,5.0,-99997.0,-99997.0,10.0,2.5,25.0,-99997.0,-99997.0,-99997.0,-99997.0,25.0,-99997.0,-99997.0,-99997.0,-99997.0,100.0,-99997.0,-99997.0,-99997.0,960.0,3360.0,-99997.0,0.3,2.0,0.3,2.0,2.4,1.8,0.0,0.9,1.0,2.4,0.3,1.0,0.9,1.0,0.9,1.0,1.7,7.1,7.1,8.6,6.1,6.0,3.7,1.1,12.3,4.9,5.6,4.5,0.9,1.0,5.4,3.3,3.3,1.1,0.0,4.2,4.2,1.1,4.2
E1215N4930,40,25,5,5,15,10,-99997,-99997,50,20,20,15,-99997,5,-99997,5,2.5,15,-99997,-99997,-99997,-99997,15,-99997,-99997,-99997,-99997,90,-99997,-99997,-99997,940,3320,-99997,0.2,2.0,0.2,2.9,2.5,1.8,0.0,0.2,2.3,2.4,1.3,0.0,0.8,1.0,0.8,3.0,1.6,6.9,6.9,8.4,6.2,4.9,4.3,1.0,12.0,4.9,5.6,4.6,0.8,2.0,4.1,1.7,1.7,1.0,0.3,4.0,4.0,1.0,4.0,45.0,25.0,10.0,-99997.0,20.0,10.0,-99997.0,-99997.0,60.0,20.0,10.0,20.0,-99997.0,5.0,-99997.0,5.0,2.4,15.0,-99997.0,-99997.0,-99997.0,-99997.0,15.0,-99997.0,-99997.0,-99997.0,-99997.0,100.0,-99997.0,-99997.0,-99997.0,990.0,3560.0,-99997.0,0.2,2.0,0.2,1.6,2.5,1.7,0.0,0.8,1.0,2.3,0.2,1.0,0.7,1.0,0.7,1.0,1.6,7.1,7.1,8.7,6.2,5.9,3.6,0.9,12.1,4.8,5.5,4.4,0.7,1.0,5.3,3.2,3.2,1.0,0.7,4.1,4.1,1.0,4.1
E1216N4930,30,15,-99997,10,5,10,-99997,-99997,60,-99997,-99997,5,-99997,-99997,-99997,5,4.3,5,-99997,-99997,-99997,-99997,5,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,890,4380,-99997,0.2,2.0,0.2,5.0,2.6,1.8,0.0,0.2,3.0,2.3,1.2,0.0,0.7,1.0,0.7,3.0,1.6,6.8,6.8,8.5,6.3,4.8,4.3,1.0,11.9,4.8,5.5,4.6,0.7,2.0,4.1,1.6,1.6,1.0,1.0,4.0,4.0,1.0,4.0,25.0,15.0,-99997.0,5.0,10.0,10.0,-99997.0,-99997.0,60.0,-99997.0,30.0,10.0,-99997.0,-99997.0,-99997.0,5.0,3.4,5.0,-99997.0,-99997.0,-99997.0,-99997.0,5.0,-99997.0,-99997.0,-99997.0,-99997.0,-99997.0,-99997.0,-99997.0,-99997.0,1030.0,3210.0,-99997.0,0.2,2.0,0.2,1.0,2.6,1.7,0.0,0.8,1.0,2.3,0.2,1.0,0.7,1.0,0.7,1.0,1.6,7.2,7.2,8.7,6.3,5.9,3.6,0.9,12.1,4.8,5.5,4.4,0.7,1.0,5.3,3.2,3.2,1.0,1.0,4.1,4.1,1.0,4.1
E1207N4929,95,45,15,15,30,30,-99997,-99997,40,10,50,40,10,5,-99997,15,2.5,35,-99997,-99997,-99997,-99997,35,-99997,-99997,-99997,10,80,20,10,-99997,1000,3050,10,1.2,0.0,1.2,0.0,3.1,2.1,0.0,1.1,0.0,1.6,1.5,0.0,0.8,1.0,0.8,2.7,0.8,6.1,6.1,7.8,6.1,5.0,4.5,1.2,12.1,5.1,5.8,4.8,0.9,1.7,4.3,0.9,0.9,1.2,0.0,4.2,4.2,1.2,4.2,100.0,50.0,15.0,25.0,25.0,30.0,-99997.0,-99997.0,40.0,10.0,40.0,40.0,10.0,5.0,5.0,15.0,2.5,35.0,-99997.0,-99997.0,-99997.0,-99997.0,35.0,-99997.0,-99997.0,-99997.0,40.0,60.0,10.0,10.0,-99997.0,1230.0,3440.0,15.0,1.2,0.0,1.2,0.0,3.1,2.0,0.0,1.1,0.0,1.6,1.2,0.0,0.8,1.0,0.8,1.0,0.8,6.7,6.7,8.6,6.1,6.2,3.9,1.2,12.4,5.1,5.8,4.7,0.9,1.0,5.6,3.5,3.5,1.1,0.0,4.4,4.4,1.1,4.4
