grid_id,price_2014,price_2020
E1208N4930,188.0,314.0
E1209N4930,181.0,306.0
E1210N4930,259.0,428.0
E1211N4930,296.0,499.0
E1212N4930,246.0,388.0
E1213N4930,217.0,363.0
E1214N4930,237.0,399.0
E1215N4930,224.0,361.0
E1216N4930,232.0,396.0
E1207N4929,205.0,341.0
E1208N4929,189.0,317.0
E1209N4929,219.0,356.0
E1210N4929,240.0,356.0
E1211N4929,290.0,484.0
E1212N4929,267.0,467.0
E1213N4929,258.0,437.0
E1214N4929,236.0,379.0
E1215N4929,249.0,368.0
E1216N4929,243.0,365.0
E1217N4929,200.0,343.0
E1218N4929,234.0,342.0
E1207N4928,242.0,392.0
E1208N4928,216.0,348.0
E1209N4928,238.0,373.0
E1210N4928,255.0,382.0
E1211N4928,333.0,523.0
E1212N4928,423.0,720.0
E1214N4928,229.0,358.0
E1215N4928,231.0,348.0
E1217N4928,200.0,343.0
E1218N4928,229.0,343.0
E1219N4928,240.0,345.0
E1209N4927,298.0,439.0
E1210N4927,148.0,255.0
E1212N4927,277.0,490.0
E1213N4927,342.0,610.0
E1214N4927,236.0,365.0
E1216N4927,270.0,427.0
E1217N4927,400.0,545.0
E1218N4927,214.0,321.0
E1219N4927,185.0,298.0
E1220N4927,198.0,334.0
E1221N4927,207.0,351.0
E1206N4926,145.0,236.0
E1209N4926,149.0,266.0
E1210N4926,145.0,261.0
E1211N4926,142.0,263.0
E1213N4926,348.0,567.0
E1214N4926,240.0,391.0
E1215N4926,276.0,459.0
E1216N4926,278.0,457.0
E1218N4926,211.0,345.0
E1219N4926,240.0,394.0
E1220N4926,250.0,402.0
E1221N4926,240.0,422.0
E1222N4926,276.0,465.0
E1205N4925,197.0,328.0
E1206N4925,199.0,299.0
E1207N4925,166.0,272.0
E1209N4925,145.0,262.0
E1210N4925,145.0,265.0
E1212N4925,144.0,262.0
E1214N4925,298.0,494.0
E1215N4925,199.0,364.0
E1216N4925,184.0,329.0
E1217N4925,186.0,316.0
E1218N4925,180.0,302.0
E1219N4925,209.0,343.0
E1220N4925,228.0,397.0
E1221N4925,197.0,324.0
E1222N4925,182.0,299.0
E1223N4925,262.0,465.0
E1203N4924,237.0,421.0
E1204N4924,139.0,242.0
E1205N4924,329.0,468.0
E1206N4924,258.0,363.0
E1207N4924,225.0,358.0
E1209N4924,147.0,270.0
E1212N4924,144.0,247.0
E1213N4924,144.0,237.0
E1214N4924,335.0,558.0
E1215N4924,223.0,400.0
E1216N4924,211.0,382.0
E1219N4924,223.0,404.0
E1220N4924,165.0,260.0
E1221N4924,185.0,323.0
E1222N4924,215.0,390.0
E1223N4924,420.0,651.0
E1203N4923,177.0,294.0
E1204N4923,166.0,260.0
E1205N4923,193.0,326.0
E1206N4923,200.0,333.0
E1207N4923,197.0,327.0
E1208N4923,145.0,255.0
E1209N4923,148.0,269.0
E1211N4923,144.0,264.0
E1212N4923,140.0,263.0
E1214N4923,267.0,490.0
E1215N4923,280.0,473.0
E1216N4923,295.0,508.0
E1219N4923,395.0,584.0
E1220N4923,393.0,595.0
E1221N4923,413.0,647.0
E1222N4923,288.0,488.0
E1202N4922,231.0,372.0
E1203N4922,163.0,264.0
E1204N4922,138.0,228.0
E1205N4922,166.0,266.0
E1206N4922,171.0,281.0
E1207N4922,142.0,253.0
E1208N4922,158.0,284.0
E1211N4922,148.0,268.0
E1212N4922,142.0,262.0
E1213N4922,144.0,263.0
E1214N4922,100.0,152.0
E1215N4922,341.0,529.0
E1216N4922,394.0,650.0
E1217N4922,339.0,569.0
E1218N4922,423.0,661.0
E1219N4922,370.0,572.0
E1220N4922,317.0,594.0
E1222N4922,429.0,715.0
E1202N4921,162.0,274.0
E1203N4921,163.0,263.0
E1205N4921,165.0,266.0
E1206N4921,169.0,290.0
E1207N4921,167.0,277.0
E1208N4921,247.0,372.0
E1209N4921,253.0,402.0
E1212N4921,229.0,297.0
E1213N4921,288.0,425.0
E1214N4921,285.0,434.0
E1216N4921,293.0,415.0
E1217N4921,337.0,533.0
E1218N4921,432.0,654.0
E1222N4921,373.0,642.0
E1223N4921,444.0,714.0
E1204N4920,158.0,253.0
E1206N4920,167.0,278.0
E1207N4920,169.0,284.0
E1209N4920,195.0,294.0
E1210N4920,307.0,458.0
E1211N4920,244.0,357.0
E1212N4920,219.0,344.0
E1213N4920,213.0,338.0
E1218N4920,396.0,567.0
E1222N4920,317.0,592.0
E1223N4920,362.0,604.0
E1205N4919,159.0,306.0
E1206N4919,163.0,282.0
E1207N4919,175.0,299.0
E1208N4919,204.0,342.0
E1209N4919,369.0,516.0
E1210N4919,191.0,303.0
E1211N4919,183.0,297.0
E1212N4919,175.0,291.0
E1213N4919,173.0,291.0
E1231N4919,155.0,291.0
E1232N4919,155.0,292.0
E1205N4918,167.0,300.0
E1206N4918,156.0,282.0
E1207N4918,164.0,285.0
E1209N4918,199.0,306.0
E1210N4918,175.0,268.0
E1211N4918,160.0,253.0
E1212N4918,161.0,286.0
E1213N4918,169.0,267.0
E1214N4918,167.0,275.0
E1217N4918,107.0,213.0
E1218N4918,113.0,206.0
E1223N4918,343.0,611.0
E1224N4918,361.0,608.0
E1230N4918,156.0,295.0
E1231N4918,161.0,305.0
E1232N4918,188.0,356.0
E1233N4918,169.0,287.0
E1302N4918,505.0,696.0
E1304N4918,395.0,689.0
E1305N4918,423.0,819.0
E1306N4918,386.0,673.0
E1206N4917,161.0,300.0
E1207N4917,139.0,268.0
E1208N4917,148.0,283.0
E1209N4917,183.0,312.0
E1210N4917,163.0,249.0
E1211N4917,165.0,262.0
E1212N4917,168.0,269.0
E1213N4917,165.0,254.0
E1214N4917,171.0,269.0
E1216N4917,117.0,226.0
E1217N4917,138.0,257.0
E1218N4917,108.0,188.0
E1223N4917,429.0,717.0
E1224N4917,344.0,528.0
E1230N4917,158.0,299.0
E1231N4917,158.0,293.0
E1232N4917,174.0,310.0
E1233N4917,155.0,263.0
E1234N4917,155.0,263.0
E1208N4916,162.0,295.0
E1209N4916,168.0,310.0
E1210N4916,173.0,293.0
E1211N4916,168.0,281.0
E1212N4916,168.0,276.0
E1215N4916,127.0,253.0
E1216N4916,125.0,240.0
E1217N4916,164.0,307.0
E1218N4916,125.0,238.0
E1230N4916,160.0,307.0
E1231N4916,147.0,252.0
E1232N4916,151.0,256.0
E1233N4916,161.0,275.0
E1234N4916,157.0,267.0
E1235N4916,154.0,262.0
E1236N4916,152.0,258.0
E1209N4915,176.0,319.0
E1210N4915,193.0,326.0
E1211N4915,177.0,316.0
E1212N4915,177.0,284.0
E1214N4915,284.0,524.0
